timestamp,sensor_id,value,unit
2025-06-03T14:15:40.109692,1,-1.72,°C
2025-06-03T14:15:40.110692,2,60.96,%
2025-06-03T14:15:40.110692,3,999.28,hPa
2025-06-03T14:15:40.110692,4,6744.44,lx
2025-06-03T16:43:24.596629,1,-16.22,°C
2025-06-03T16:43:24.597629,2,1.3,%
2025-06-03T16:43:24.598629,3,997.61,hPa
2025-06-03T16:43:24.598629,4,3370.07,lx
2025-06-03T16:43:32.813699,1,-15.81,°C
2025-06-03T16:43:32.814700,2,17.77,%
2025-06-03T16:43:32.815700,3,999.82,hPa
2025-06-03T16:43:32.815700,4,3303.19,lx
2025-06-03T16:43:34.749794,1,-14.87,°C
2025-06-03T16:43:34.750794,2,80.25,%
2025-06-03T16:43:34.759796,3,1000.77,hPa
2025-06-03T16:43:34.760796,4,3307.14,lx
2025-06-03T16:43:36.013748,1,-14.99,°C
2025-06-03T16:43:36.014748,2,41.38,%
2025-06-03T16:43:36.014748,3,999.16,hPa
2025-06-03T16:43:36.036756,4,3391.91,lx
2025-06-03T16:43:41.029029,1,-15.87,°C
2025-06-03T16:43:41.030029,2,51.49,%
